TimeFrame,Fips,Location,Population,Rent,Rent_Burden,Overcrowded,Owner,Employment_Ratio,Unemployment,Median_Income,Uninsured_No,Uninsured_Pct,Education_Level,Education_No,Education_Pct,Snap_No,Snap_Pct
2005,502,South Beach,131695,1154.89997,0.3019,0.10205,0.66781,0.556,0.067,74698.07021,,,,,,3627,0.07301
2005,503,Tottenville,155104,1151.03311,0.2505,,0.85698,0.573,0.044,100847.4165,,,,,,2490,0.04748
2005,36005,Bronx,1309640,891.95399,0.31429,0.13138,0.20981,0.521,0.11,36693.70078,,,,,,144131,0.30783
2005,36047,Brooklyn,2446016,1015.69327,0.27688,0.09868,0.30065,0.543,0.091,46867.70348,,,,,,211982,0.2403
2005,36061,Manhattan,1529774,1223.21436,0.21564,0.0585,0.22793,0.626,0.07,70270.16948,,,,,,111310,0.15218
2005,36081,Queens,2215339,1214.1917,0.2714,0.11195,0.45777,0.577,0.078,60377.38304,,,,,,92894,0.11871
2005,36085,Staten Island,455344,1113.65354,0.32531,0.0864,0.70359,0.564,0.068,79120.94923,,,,,,15662,0.09676
2005,3651000,New York City,7956113,1064.67341,0.26663,0.09594,0.3312,0.567,0.084,54528.33583,,,,,,576026,0.19035
2006,101,Battery Park/Tribeca,59445.0087,2111.18096,0.20772,0.05946,0.29769,0.719,0.04774,115403.2489,,,Bachelor's Degree or Higher,37457.668,0.76289,1135,0.04229
2006,102,Greenwich Village,87752.9913,2111.18096,0.20772,0.05946,0.29769,0.719,0.04774,115403.2489,,,Bachelor's Degree or Higher,55259.332,0.76289,2419,0.05247
2006,103,Lower East Side,178669,893.91222,0.23147,0.09846,0.10824,0.556,0.07519,44884.78547,,,Bachelor's Degree or Higher,49203,0.36332,15063,0.20385
2006,104,Chelsea/Clinton,87597.43577,1689.19446,0.18871,0.04292,0.20064,0.721,0.05488,88443.67008,,,Bachelor's Degree or Higher,4045.284,0.68138,7939,0.15468
2006,105,Midtown Business District,43841.56423,1689.19446,0.18871,0.04292,0.20064,0.721,0.05488,88443.67008,,,Bachelor's Degree or Higher,2028.716,0.68138,2414,0.0963
2006,106,Murray Hill/Stuyvesant,138971,1902.68467,0.18882,0.0381,0.3279,0.705,0.04782,109130.1565,,,Bachelor's Degree or Higher,88565,0.75439,2202,0.02778
2006,107,Upper West Side,216812,1584.32208,0.1903,0.04164,0.35636,0.675,0.04525,110248.0491,,,Bachelor's Degree or Higher,123450,0.73837,8783,0.08139
2006,108,Upper East Side,214459,1911.42404,0.15716,0.03614,0.37283,0.701,0.03513,117070.9646,,,Bachelor's Degree or Higher,134016,0.7769,2505,0.02187
2006,109,Manhattanville,122736,878.93045,0.295,0.05253,0.12449,0.517,0.08115,34986.75302,,,Bachelor's Degree or Higher,31167,0.38208,11701,0.25298
2006,110,Central Harlem,118143,751.58542,0.24559,0.10878,0.12224,0.525,0.1343,32851.93098,,,Bachelor's Degree or Higher,19225,0.25569,13842,0.28486
2006,111,East Harlem,134287,660.44632,0.18701,0.121,0.07552,0.472,0.10622,32858.01309,,,Bachelor's Degree or Higher,18710,0.21993,16977,0.37163
2006,112,Washington Heights,208867,912.63943,0.31033,0.11894,0.08306,0.556,0.11363,39517.92801,,,Bachelor's Degree or Higher,35843,0.25631,24714,0.35229
2006,201,Mott Haven,87777.74431,671.68265,0.31497,0.10821,0.07568,0.406,0.14938,21703.41588,,,Bachelor's Degree or Higher,2823.184,0.07979,15044,0.5534
2006,202,Hunts Point,50122.25569,671.68265,0.31497,0.10821,0.07568,0.406,0.14938,21703.41588,,,Bachelor's Degree or Higher,1608.816,0.07979,7579,0.50368
2006,203,Morrisania,76787.37594,762.82174,0.34477,0.13861,0.08034,0.463,0.13087,22440.5681,,,Bachelor's Degree or Higher,3092.436,0.07708,11676,0.45421
2006,204,Concourse/Highbridge,132838,848.96691,0.34374,0.1588,0.04957,0.503,0.13857,29600.43279,,,Bachelor's Degree or Higher,7458,0.09609,21255,0.4617
2006,205,University Heights,133858,896.40918,0.40502,0.1627,0.03991,0.518,0.15177,24774.88349,,,Bachelor's Degree or Higher,7379,0.10045,19686,0.4622
2006,206,East Tremont,80162.62406,762.82174,0.34477,0.13861,0.08034,0.463,0.13087,22440.5681,,,Bachelor's Degree or Higher,3231.564,0.07708,12311,0.4633
2006,207,Bedford Park,124968,977.56043,0.37188,0.10863,0.0942,0.502,0.13222,34384.62373,,,Bachelor's Degree or Higher,12288,0.16286,15718,0.34755
2006,208,Riverdale,111199,1053.71776,0.23184,0.09304,0.30245,0.549,0.1225,59807.86057,,,Bachelor's Degree or Higher,30388,0.39915,5268,0.1225
2006,209,Unionport/Soundview,180396,966.32411,0.27808,0.11599,0.21657,0.539,0.08445,42124.7221,,,Bachelor's Degree or Higher,15649,0.1401,16478,0.25256
2006,210,Throgs Neck,114081,1025.0027,0.23057,0.03294,0.5732,0.519,0.09165,62983.94055,,,Bachelor's Degree or Higher,15744,0.19518,5071,0.11649
2006,211,Pelham Parkway,121465,972.56651,0.28796,0.11353,0.3215,0.521,0.08163,51219.9155,,,Bachelor's Degree or Higher,16697,0.20981,7112,0.163
2006,212,Williamsbridge,147818,1028.74814,0.26091,0.10211,0.41105,0.582,0.11047,55494.42527,,,Bachelor's Degree or Higher,16937,0.19052,10026,0.21306
2006,301,Williamsburg/Greenpoint,141513,897.65766,0.26679,0.10763,0.18071,0.541,0.06128,39298.9719,,,Bachelor's Degree or Higher,26552,0.29483,15026,0.29007
2006,302,Fort Greene/Brooklyn Hts,111796,1079.93585,0.20811,0.04479,0.37816,0.606,0.06792,66846.08299,,,Bachelor's Degree or Higher,43120,0.54511,6871,0.1424
2006,303,Bedford Stuyvesant,132087,796.53072,0.35029,0.10692,0.2613,0.501,0.12788,33570.83686,,,Bachelor's Degree or Higher,11882,0.16851,20293,0.47888
2006,304,Bushwick,123871,911.39095,0.3762,0.16512,0.18714,0.548,0.07097,33879.80826,,,Bachelor's Degree or Higher,10224,0.14032,15803,0.40877
2006,305,East New York,161064,1000.03309,0.34768,0.07435,0.24809,0.501,0.07237,34141.33917,,,Bachelor's Degree or Higher,10535,0.11591,21595,0.43364
2006,306,Park Slope,110032,1563.09791,0.15897,0.06582,0.34682,0.706,0.05138,90264.65503,,,Bachelor's Degree or Higher,49035,0.61343,4914,0.10617
2006,307,Sunset Park,153066,1089.9237,0.24493,0.18907,0.31707,0.606,0.04403,57010.0881,,,Bachelor's Degree or Higher,22985,0.2275,9597,0.20816
2006,308,Crown Heights North,127013,943.85145,0.25294,0.08782,0.19981,0.575,0.12743,46861.47255,,,Bachelor's Degree or Higher,22222,0.27634,10500,0.21773
2006,309,Crown Heights South,110333,1000.03309,0.26556,0.09833,0.17352,0.564,0.11312,41542.05558,,,Bachelor's Degree or Higher,12870,0.18761,8144,0.20465
2006,310,Bay Ridge,123447,1169.82647,0.25027,0.08583,0.3995,0.559,0.08182,67016.38218,,,Bachelor's Degree or Higher,31362,0.35508,5260,0.1123
2006,311,Bensonhurst,174593,1112.39635,0.35781,0.11393,0.39087,0.543,0.0488,47092.59288,,,Bachelor's Degree or Higher,28284,0.22957,13338,0.21791
2006,312,Borough Park,155509,1083.6813,0.3317,0.18009,0.3106,0.527,0.06134,48705.56954,,,Bachelor's Degree or Higher,20844,0.25186,13405,0.29761
2006,313,Coney Island,103687,822.74882,0.30852,0.09946,0.28483,0.436,0.04934,34039.15965,,,Bachelor's Degree or Higher,25531,0.33379,15031,0.34782
2006,314,Flatbush/Midwood,163099,1043.72991,0.25808,0.13837,0.22755,0.542,0.0738,48802.88336,,,Bachelor's Degree or Higher,32698,0.31863,13598,0.23932
2006,315,Sheepshead Bay,148784,1025.0027,0.31316,0.11393,0.48335,0.498,0.05103,51587.27519,,,Bachelor's Degree or Higher,40061,0.37577,11482,0.20401
2006,316,Brownsville,116936,726.6158,0.30881,0.07034,0.21576,0.445,0.13104,27947.31419,,,Bachelor's Degree or Higher,5605,0.08566,12288,0.31093
2006,317,East Flatbush,147390,1051.2208,0.28369,0.10704,0.38186,0.584,0.08351,50485.19612,,,Bachelor's Degree or Higher,17430,0.1862,10675,0.22288
2006,318,Canarsie,204600,1144.85685,0.20053,0.06517,0.62397,0.58,0.05522,71910.05117,,,Bachelor's Degree or Higher,36163,0.27916,8410,0.13127
2006,401,Astoria,190247,1193.5476,0.22155,0.10413,0.20317,0.592,0.1012,51227.21403,,,Bachelor's Degree or Higher,40775,0.30529,8843,0.11476
2006,402,Sunnyside/Woodside,128673,1235.99595,0.28808,0.16991,0.29483,0.596,0.08694,54378.96555,,,Bachelor's Degree or Higher,28136,0.29592,4544,0.09248
2006,403,Jackson Heights,176387,1216.02026,0.29601,0.22264,0.37468,0.626,0.06777,58143.79416,,,Bachelor's Degree or Higher,25070,0.21222,9216,0.1721
2006,404,Elmhurst/Corona,138593,1255.97164,0.29658,0.2068,0.25867,0.61,0.0526,50387.88229,,,Bachelor's Degree or Higher,20883,0.22087,9180,0.20524
2006,405,Ridgewood/Glendale,179768,1192.29912,0.24862,0.06144,0.45111,0.572,0.06545,61401.37446,,,Bachelor's Degree or Higher,24138,0.19877,6483,0.10341
2006,406,Rego Park/Forest Hills,116418,1333.37745,0.26981,0.0653,0.42842,0.597,0.06199,73088.76488,,,Bachelor's Degree or Higher,46197,0.5309,4827,0.09379
2006,407,Flushing,246542,1344.61377,0.29645,0.12011,0.50159,0.572,0.07832,61597.21854,,,Bachelor's Degree or Higher,56274,0.30795,8294,0.09476
2006,408,Fresh Meadows/Briarwood,147374,1243.48683,0.22793,0.08171,0.54483,0.591,0.06408,68927.38242,,,Bachelor's Degree or Higher,36229,0.36084,5528,0.10548
2006,409,Woodhaven,138679,1258.4686,0.32743,0.0983,0.46678,0.612,0.0759,64132.24368,,,Bachelor's Degree or Higher,20835,0.23623,6209,0.144
2006,410,Howard Beach,124623,1307.15935,0.34262,0.09213,0.68318,0.567,0.07794,68867.77771,,,Bachelor's Degree or Higher,13849,0.16292,3901,0.10495
2006,411,Bayside,117784,1414.5287,0.22613,0.0974,0.70823,0.617,0.04387,82074.48021,,,Bachelor's Degree or Higher,35256,0.3997,1834,0.03925
2006,412,Jamaica/St. Albans,216115,1057.4632,0.27304,0.1013,0.55725,0.592,0.09941,59486.72495,,,Bachelor's Degree or Higher,23714,0.17202,12669,0.19118
2006,413,Queens Village,213704,1337.12289,0.21452,0.08795,0.75316,0.597,0.06663,80336.21201,,,Bachelor's Degree or Higher,40141,0.27836,5777,0.08958
2006,414,The Rockaways,120268,940.10601,0.26554,0.17345,0.41086,0.506,0.09076,53000.7585,,,Bachelor's Degree or Higher,18768,0.26261,8864,0.22856
2006,501,St. George,168395,1052.46928,0.2484,0.06052,0.58719,0.583,0.05652,71133.97341,,,Bachelor's Degree or Higher,25657,0.23986,10002,0.16462
2006,502,South Beach,133736,1149.85078,0.21766,0.03203,0.72886,0.568,0.07272,83981.83119,,,Bachelor's Degree or Higher,27198,0.29701,4013,0.08541
2006,503,Tottenville,175246,1122.3842,0.31792,0.05212,0.84914,0.598,0.03652,99665.17055,,,Bachelor's Degree or Higher,32220,0.27189,2630,0.04476
2006,36005,Bronx,1361473,908.89399,0.31621,0.12025,0.21472,0.511,0.11771,38310.02015,,,Bachelor's Degree or Higher,135151,0.16395,147224,0.31268
2006,36047,Brooklyn,2508820,1020.00878,0.28406,0.10736,0.32257,0.549,0.07385,49134.96679,,,Bachelor's Degree or Higher,447403,0.27928,216230,0.24792
2006,36061,Manhattan,1611581,1260.96556,0.21738,0.06969,0.2354,0.624,0.06751,73006.04812,,,Bachelor's Degree or Higher,661174,0.55247,109694,0.14911
2006,36081,Queens,2255175,1227.25658,0.26877,0.12381,0.47039,0.59,0.075,62268.68393,,,Bachelor's Degree or Higher,430265,0.27798,96169,0.12407
2006,36085,Staten Island,477377,1097.41458,0.25321,0.05115,0.71961,0.584,0.05371,83470.93361,,,Bachelor's Degree or Higher,85075,0.26834,16645,0.09997
2006,3651000,New York City,8214426,1073.69345,0.26722,0.10115,0.34435,0.572,0.07798,56539.33247,,,Bachelor's Degree or Higher,1759068,0.32053,585962,0.19401
2007,101,Battery Park/Tribeca,56375.39151,2193.79054,0.20187,0.04333,0.27156,0.73,0.03292,124125.8971,,,Bachelor's Degree or Higher,37457.668,0.75403,1228,0.04717
2007,102,Greenwich Village,83221.60849,2193.79054,0.20187,0.04333,0.27156,0.73,0.03292,124125.8971,,,Bachelor's Degree or Higher,55259.332,0.75403,2596,0.05806
2007,103,Lower East Side,172403,827.98293,0.24079,0.09297,0.12624,0.54,0.08412,37884.22984,,,Bachelor's Degree or Higher,44418,0.34033,16040,0.22099
2007,104,Chelsea/Clinton,88750.39314,1651.10965,0.18615,0.04336,0.2489,0.713,0.05313,93874.56266,,,Bachelor's Degree or Higher,4045.284,0.69007,8150,0.16298
2007,105,Midtown Business District,44418.60686,1651.10965,0.18615,0.04336,0.2489,0.713,0.05313,93874.56266,,,Bachelor's Degree or Higher,2028.716,0.69007,2549,0.10437
2007,106,Murray Hill/Stuyvesant,144403,2045.6763,0.16601,0.05197,0.29823,0.706,0.04504,114611.6792,,,Bachelor's Degree or Higher,92596,0.77119,2301,0.02801
2007,107,Upper West Side,214490,1683.88903,0.19544,0.04631,0.31575,0.689,0.04542,102649.7318,,,Bachelor's Degree or Higher,125990,0.76073,8979,0.08326
2007,108,Upper East Side,218253,2022.60932,0.17359,0.02717,0.36031,0.707,0.03419,121619.0437,,,Bachelor's Degree or Higher,139709,0.80977,2584,0.02234
2007,109,Manhattanville,130456,991.87984,0.23217,0.06211,0.15308,0.576,0.06945,49503.25857,,,Bachelor's Degree or Higher,41166,0.45638,11709,0.24449
